A01-1	0.00360869041542971	0.99639130958457
A02-9	0.0918147001462984	0.908185299853701
A03-17	2.98986478652132e-05	0.999970101352135
A04-25	3.85404797204713e-07	0.999999614595203
A05-33	4.60599202640548e-06	0.999995394007974
B01-2	2.30705359547051e-05	0.999976929464045
B02-10	0.00317950956840309	0.996820490431597
B03-18	0.000109533363403689	0.999890466636596
B04-26	1.14376545303937e-05	0.99998856234547
B05-34	0.012478672443982	0.987521327556018
C01-3	0.999995467235756	4.53276424439347e-06
C02-11	1.82319642732399e-06	0.999998176803573
C03-19	0.000136773003651286	0.999863226996349
C04-27	5.54797787291959e-05	0.999944520221271
C05-35	0.00213469483430943	0.99786530516569
D01-4	0.999934708564241	6.52914357592581e-05
D02-12	2.43269317523923e-06	0.999997567306825
D03-20	9.03240859876768e-06	0.999990967591401
D04-28	0.275030430788126	0.724969569211874
D05-36	0.00568864400181456	0.994311355998185
E01-5	2.11376493207227e-05	0.999978862350679
E02-13	9.91962610482785e-06	0.999990080373895
E03-21	1.4928459730537e-06	0.999998507154027
E04-29	0.00361044962575681	0.996389550374243
E05-37	0.999990079922671	9.92007732911739e-06
F01-6	4.08288389849716e-05	0.999959171161015
F02-14	8.75126510357353e-07	0.99999912487349
F03-22	0.00217497562620779	0.997825024373792
F04-30	8.45566687589481e-06	0.999991544333124
F05-38	0.997476569029273	0.00252343097072688
G01-7	0.0535035844158974	0.946496415584103
G02-15	5.60522390135018e-05	0.999943947760986
G03-23	0.00249485931091412	0.997505140689086
G04-31	1.50544479611498e-05	0.999984945552039
G05-39	0.99357071249524	0.00642928750475969
H01-8	0.999148184906201	0.000851815093798503
H02-16	2.25391162485634e-06	0.999997746088375
H03-24	0.0180649458712172	0.981935054128783
H04-32	0.993363685893522	0.00663631410647816
A01-40	0.996743147155742	0.00325685284425767
A02-48	0.999089010798455	0.00091098920154478
A03-56	8.59604257249177e-06	0.999991403957427
B01-41	0.999852760732178	0.000147239267822046
B02-49	0.0119981837449523	0.988001816255048
B03-57	0.999358680289192	0.00064131971080832
C01-42	0.878358646186819	0.121641353813181
C02-50	0.952865998070619	0.0471340019293811
C03-58	0.103761643370414	0.896238356629586
D01-43	0.566967923188905	0.433032076811095
D02-51	0.0682412874165736	0.931758712583426
E01-44	0.00602621123130631	0.993973788768694
E02-52	0.988867071237701	0.0111329287622985
E03-60	0.914341343141837	0.0856586568581626
F01-45	0.0865640006690851	0.913435999330915
F02-53	0.999757535063691	0.000242464936309196
F03-61	0.00055712846265167	0.999442871537348
G01-46	0.999896210792318	0.000103789207681651
G02-54	0.0588045875155023	0.941195412484498
H01-47	0.999998395989981	1.6040100195114e-06
H02-55	0.997080060121855	0.00291993987814511
